Date,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH,lags_1,lags_2,lags_6,lags_12,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,growth_yoy,month,year,quarter,month_sin,month_cos,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,Oil_price_lag3,FDI_lag1,FDI_lag3,Poverty_rate_lag1,Poverty_rate_lag3,GDP_Construction_lag1,GDP_Construction_lag3,REER_lag1,REER_lag3,TSI,TSI_lag1,TSI_lag3,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
1995-01-01,109.37567,17.015,334768300.0,15.5,,1995,1,,0,187471.88663236666,1300.778247520322,,,,,,,,,,,0.0,1,1995,1,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,2,0,0,,,,,,,,,,,61.24,,,0,0,0,0
1995-02-01,109.4047208219178,17.05,336689917.8082192,15.542465753424658,,1995,2,,0,187471.88663236666,1300.778247520322,187471.88663236666,,,,,,,,,,0.0,2,1995,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0,17.015,,334768300.0,,15.5,,,,109.37567,,59.69,61.24,,0,0,0,0
1995-03-01,109.4309602739726,16.85,338425572.6027397,15.58082191780822,,1995,3,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,,,,,,,,,0.0,3,1995,1,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,17.05,,336689917.8082192,,15.542465753424658,,,,109.4047208219178,,61.68,59.69,,0,0,0,0
1995-04-01,109.4600110958904,18.135737704918032,340347190.4109589,15.623287671232877,,1995,4,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,,,187471.88663236666,0.0,,,,,0.0,4,1995,2,0.8660254037844387,-0.4999999999999998,1,0,0,0,1,0,0,0,0,16.85,17.015,338425572.6027397,334768300.0,15.58082191780822,15.5,,,109.4309602739726,109.37567,63.9,61.68,61.24,0,0,0,0
1995-05-01,109.48812479452054,19.38,342206820.5479452,15.664383561643836,,1995,5,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,,,187471.88663236666,0.0,,,,,0.0,5,1995,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,1,0,1,0,0,18.135737704918032,17.05,340347190.4109589,336689917.8082192,15.623287671232877,15.542465753424658,,,109.4600110958904,109.4047208219178,59.54,63.9,59.69,0,0,0,0
1995-06-01,109.51717561643837,17.7,344128438.3561644,15.706849315068492,,1995,6,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,,,187471.88663236666,0.0,,,,,0.0,6,1995,2,1.2246467991473532e-16,-1.0,0,1,0,1,0,0,0,0,0,19.38,16.85,342206820.5479452,338425572.6027397,15.664383561643836,15.58082191780822,,,109.48812479452054,109.4309602739726,59.57,59.54,61.68,0,0,0,0
1995-07-01,109.54528931506847,16.913114754098363,345988068.4931507,15.747945205479452,,1995,7,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,187471.88663236666,,187471.88663236666,0.0,187471.88663236666,0.0,,,0.0,7,1995,3,-0.4999999999999997,-0.8660254037844388,0,1,0,1,1,1,1,0,0,17.7,18.135737704918032,344128438.3561644,340347190.4109589,15.706849315068492,15.623287671232877,,,109.51717561643837,109.4600110958904,64.14,59.57,63.9,0,0,0,1
1995-08-01,109.57434013698632,16.1,347909686.30136985,15.79041095890411,,1995,8,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,187471.88663236666,,187471.88663236666,0.0,187471.88663236666,0.0,,,0.0,8,1995,3,-0.8660254037844385,-0.5000000000000004,0,1,0,1,1,1,3,0,0,16.913114754098363,19.38,345988068.4931507,342206820.5479452,15.747945205479452,15.664383561643836,,,109.54528931506847,109.48812479452054,62.14,64.14,59.54,0,0,0,0
1995-09-01,109.60339095890411,16.25,349831304.10958904,15.832876712328767,,1995,9,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,187471.88663236666,,187471.88663236666,0.0,187471.88663236666,0.0,,,0.0,9,1995,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,16.1,17.7,347909686.30136985,344128438.3561644,15.79041095890411,15.706849315068492,,,109.57434013698632,109.51717561643837,59.08,62.14,59.57,0,0,0,0
1995-10-01,109.63150465753424,16.38770491803279,351690934.24657536,15.873972602739729,,1995,10,,0,187471.88663236666,1300.778247520322,187471.88663236666,187471.88663236666,187471.88663236666,,187471.88663236666,0.0,187471.88663236666,0.0,,,0.0,10,1995,4,-0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,0,0,16.25,16.913114754098363,349831304.10958904,345988068.4931507,15.832876712328767,15.747945205479452,,,109.60339095890411,109.54528931506847,61.64,59.08,64.14,0,0,0,0
