Date,Year,Month,Arrivals,Arrivals_EHTC,Arrivals_WB,Nights,receipts_MHD,Recettes_Mensuelles_MDH
1995-01-01,1995,1,165120.0,,165120.0,,881.4000000000001,
1995-02-01,1995,2,165120.0,,165120.0,,881.4000000000001,
1995-03-01,1995,3,220160.0,,220160.0,,1175.2,
1995-04-01,1995,4,247680.0,,247680.0,,1322.1000000000001,
1995-05-01,1995,5,247680.0,,247680.0,,1322.1000000000001,
1995-06-01,1995,6,275200.0,,275200.0,,1469.0000000000002,
1995-07-01,1995,7,330240.0,,330240.0,,1762.8000000000002,
1995-08-01,1995,8,330240.0,,330240.0,,1762.8000000000002,
1995-09-01,1995,9,247680.0,,247680.0,,1322.1000000000001,
1995-10-01,1995,10,220160.0,,220160.0,,1175.2,
1995-11-01,1995,11,165120.0,,165120.0,,881.4000000000001,
1995-12-01,1995,12,137600.0,,137600.0,,734.5000000000001,
1996-01-01,1996,1,171360.0,,171360.0,,1114.2,
1996-02-01,1996,2,171360.0,,171360.0,,1114.2,
1996-03-01,1996,3,228480.0,,228480.0,,1485.6000000000001,
1996-04-01,1996,4,257040.0,,257040.0,,1671.3000000000002,
1996-05-01,1996,5,257040.0,,257040.0,,1671.3000000000002,
1996-06-01,1996,6,285600.0,,285600.0,,1857.0000000000002,
1996-07-01,1996,7,342720.0,,342720.0,,2228.4,
1996-08-01,1996,8,342720.0,,342720.0,,2228.4,
1996-09-01,1996,9,257040.0,,257040.0,,1671.3000000000002,
1996-10-01,1996,10,228480.0,,228480.0,,1485.6000000000001,
1996-11-01,1996,11,171360.0,,171360.0,,1114.2,
1996-12-01,1996,12,142800.0,,142800.0,,928.5000000000001,
1997-01-01,1997,1,192180.0,,192180.0,,989.4000000000001,
1997-02-01,1997,2,192180.0,,192180.0,,989.4000000000001,
1997-03-01,1997,3,256240.0,,256240.0,,1319.2,
1997-04-01,1997,4,288270.0,,288270.0,,1484.1000000000001,
1997-05-01,1997,5,288270.0,,288270.0,,1484.1000000000001,
1997-06-01,1997,6,320300.0,,320300.0,,1649.0000000000002,
1997-07-01,1997,7,384360.0,,384360.0,,1978.8000000000002,
1997-08-01,1997,8,384360.0,,384360.0,,1978.8000000000002,
1997-09-01,1997,9,288270.0,,288270.0,,1484.1000000000001,
1997-10-01,1997,10,256240.0,,256240.0,,1319.2,
1997-11-01,1997,11,192180.0,,192180.0,,989.4000000000001,
1997-12-01,1997,12,160150.0,,160150.0,,824.5000000000001,
1998-01-01,1998,1,196020.0,,196020.0,,1160.4,
1998-02-01,1998,2,196020.0,,196020.0,,1160.4,
1998-03-01,1998,3,261360.0,,261360.0,,1547.2,
1998-04-01,1998,4,294030.0,,294030.0,,1740.6000000000001,
1998-05-01,1998,5,294030.0,,294030.0,,1740.6000000000001,
1998-06-01,1998,6,326700.0,,326700.0,,1934.0000000000002,
1998-07-01,1998,7,392040.0,,392040.0,,2320.8,
1998-08-01,1998,8,392040.0,,392040.0,,2320.8,
1998-09-01,1998,9,294030.0,,294030.0,,1740.6000000000001,
1998-10-01,1998,10,261360.0,,261360.0,,1547.2,
1998-11-01,1998,11,196020.0,,196020.0,,1160.4,
1998-12-01,1998,12,163350.0,,163350.0,,967.0000000000001,
1999-01-01,1999,1,245280.0,,245280.0,,1306.2,
1999-02-01,1999,2,245280.0,,245280.0,,1306.2,
1999-03-01,1999,3,327040.0,,327040.0,,1741.6000000000001,
1999-04-01,1999,4,367920.0,,367920.0,,1959.3000000000002,
