Date,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
1995-01-01,109.37567,17.015,334768300.0,15.5,,1995,1,,0,187471.88663236666,1300.778247520322
1995-02-01,109.4047208219178,17.05,336689917.8082192,15.542465753424658,,1995,2,,0,187471.88663236666,1300.778247520322
1995-03-01,109.4309602739726,16.85,338425572.6027397,15.58082191780822,,1995,3,,0,187471.88663236666,1300.778247520322
1995-04-01,109.4600110958904,18.135737704918032,340347190.4109589,15.623287671232877,,1995,4,,0,187471.88663236666,1300.778247520322
1995-05-01,109.48812479452054,19.38,342206820.5479452,15.664383561643836,,1995,5,,0,187471.88663236666,1300.778247520322
1995-06-01,109.51717561643837,17.7,344128438.3561644,15.706849315068492,,1995,6,,0,187471.88663236666,1300.778247520322
1995-07-01,109.54528931506847,16.913114754098363,345988068.4931507,15.747945205479452,,1995,7,,0,187471.88663236666,1300.778247520322
1995-08-01,109.57434013698632,16.1,347909686.30136985,15.79041095890411,,1995,8,,0,187471.88663236666,1300.778247520322
1995-09-01,109.60339095890411,16.25,349831304.10958904,15.832876712328767,,1995,9,,0,187471.88663236666,1300.778247520322
1995-10-01,109.63150465753424,16.38770491803279,351690934.24657536,15.873972602739729,,1995,10,,0,187471.88663236666,1300.778247520322
1995-11-01,109.66055547945206,16.53,353612552.0547945,15.916438356164385,,1995,11,,0,187471.88663236666,1300.778247520322
1995-12-01,109.6886691780822,17.18,355472182.1917808,15.957534246575342,,1995,12,,0,187471.88663236666,1300.778247520322
1996-01-01,109.71772,16.98,357393800.0,16.0,,1996,1,,0,187471.88663236666,1300.778247520322
1996-02-01,109.68616267759565,16.78,418542358.7431694,16.0,,1996,2,,0,199932.0376184227,1164.835302502192
1996-03-01,109.6566413114754,18.55,475745849.1803279,16.0,,1996,3,,0,208722.37671238376,1636.3109997761953
1996-04-01,109.62508398907104,20.8,536894407.9234973,16.0,,1996,4,,0,245308.98510621404,1965.622310001165
1996-05-01,109.59454464480876,18.95,596070432.5136611,16.0,,1996,5,,0,219535.22401003563,1624.8193001698553
1996-06-01,109.56298732240435,19.36672131147541,657218991.2568307,16.0,,1996,6,,0,247820.08527055944,1797.6253508624507
1996-07-01,109.53244797814207,19.77,716395015.8469946,16.0,,1996,7,,0,463828.33054016664,2390.8947211208297
1996-08-01,109.5008906557377,18.84,777543574.590164,16.0,,1996,8,,0,300998.44018982456,2208.9303458188883
1996-09-01,109.46933333333334,21.045573770491803,838692133.3333334,16.0,,1996,9,,0,191438.35611666812,1540.519388125025
1996-10-01,109.43879398907104,23.18,897868157.9234973,16.0,,1996,10,,0,236071.92929593445,1568.9205131760268
1996-11-01,109.40723666666666,22.3,959016716.6666667,16.0,,1996,11,,0,183287.88826423904,1128.7749823368779
1996-12-01,109.37669732240435,21.47549668874172,1018192741.2568308,16.0,,1996,12,,0,228206.6960801577,999.2688564699773
1997-01-01,109.34514,20.623509933774837,1079341300.0,16.0,,1997,1,,0,207722.5387667392,1124.7666075284594
1997-02-01,109.59260493150686,19.771523178807943,1013890605.9178082,16.01698630136986,,1997,2,,0,204866.79125520794,831.987702301698
1997-03-01,109.8161216438356,19.00198675496689,954773849.9726028,16.03232876712329,,1997,3,,0,208065.27375696148,1103.3256121769205
1997-04-01,110.06358657534248,18.15,889323155.8904109,16.04931506849315,,1997,4,,0,249297.7160497052,1406.3488141076612
1997-05-01,110.30306876712328,18.24,825983774.5205479,16.065753424657533,,1997,5,,0,236840.61761420558,1317.6643254466996
1997-06-01,110.55053369863012,18.60728260869565,760533080.4383562,16.0827397260274,,1997,6,,0,285377.1660646653,1693.795067534239
1997-07-01,110.79001589041096,18.962717391304345,697193699.0684931,16.09917808219178,,1997,7,,0,462108.97393429425,1633.6818862072719
1997-08-01,111.0374808219178,19.33,631743004.9863014,16.116164383561642,,1997,8,,0,303292.96221753047,1533.009450174648
1997-09-01,111.28494575342468,19.6044262295082,566292310.9041096,16.133150684931508,,1997,9,,0,235234.856160519,1670.8125712424267
1997-10-01,111.52442794520547,19.87,502952929.53424656,16.14958904109589,,1997,10,,0,255178.09283287264,1283.434457127882
1997-11-01,111.77189287671231,18.92475409836066,437502235.45205474,16.16657534246575,,1997,11,,0,210950.39829827312,1063.1841001475223
1997-12-01,112.01137506849317,18.01,374162854.0821917,16.183013698630138,,1997,12,,0,243803.10570458538,790.0299119544327
1998-01-01,112.25884,16.910909090909094,308712160.0,16.2,,1998,1,,0,203917.3812385401,1209.4224546995088
1998-02-01,112.25862053698631,15.811818181818182,352728919.01369864,16.2,,1998,2,,0,231475.47264366,1246.4558623623202
1998-03-01,112.25842231232878,14.81909090909091,392485991.6712329,16.2,,1998,3,,0,218641.7393509109,1393.227985946358
1998-04-01,112.25820284931508,13.72,436502750.6849315,16.2,,1998,4,,0,266123.16896139964,1828.3051664633733
1998-05-01,112.25799046575342,14.6,479099614.24657536,16.2,,1998,5,,0,246630.92998304218,1623.1037084559362
1998-06-01,112.25777100273972,13.66,523116373.26027393,16.2,,1998,6,,0,282686.0062791014,1860.1590727663615
1998-07-01,112.25755861917808,11.93,565713236.8219178,16.2,,1998,7,,0,478637.5325608809,1986.7255773585873
1998-08-01,112.25733915616438,12.02,609729995.8356164,16.2,,1998,8,,0,361714.4091168863,2550.6445390921745
1998-09-01,112.25711969315068,12.11,653746754.849315,16.2,,1998,9,,0,223923.65493779638,1688.0898047793548
1998-10-01,112.25690730958904,14.46,696343618.4109589,16.2,,1998,10,,0,249700.78111563402,1365.8758109193534
1998-11-01,112.25668784657532,12.127377049180328,740360377.4246576,16.2,,1998,11,,0,222988.07270206616,1348.4076094808797
1998-12-01,112.25647546301369,9.87,782957240.9863014,16.2,,1998,12,,0,251305.27271664602,950.8386534350931
1999-01-01,112.256256,10.34,826974000.0,16.2,,1999,1,,0,264697.9723894816,1479.7106645693075
1999-02-01,112.4767911890411,10.81,792965664.8767123,16.166027397260272,,1999,2,,0,260826.53182513837,1091.402610076948
1999-03-01,112.67598426301367,10.52,762248458.9589041,16.135342465753425,,1999,3,,0,271106.76220498176,1533.8026617347812
1999-04-01,112.8965194520548,14.6,728240123.8356165,16.101369863013698,,1999,4,,0,330174.4511683956,2019.6313811239431
1999-05-01,113.10994060273973,14.41311475409836,695328831.7808219,16.06849315068493,,1999,5,,0,329170.7671916161,2111.201745654481
1999-06-01,113.3304757917808,14.22,661320496.6575342,16.034520547945206,,1999,6,,0,361751.38146991056,2202.5944286818085
1999-07-01,113.54389694246576,17.25,628409204.6027397,16.001643835616438,,1999,7,,0,613404.1458104744,2362.615546468416
1999-08-01,113.76443213150684,19.175,594400869.479452,15.967671232876713,,1999,8,,0,409395.4876488774,2312.258599889371
1999-09-01,113.98496732054794,21.1,560392534.3561645,15.933698630136986,,1999,9,,0,260351.94783616258,1597.5049275959936
1999-10-01,114.19838847123287,22.98,527481242.30136985,15.90082191780822,,1999,10,,0,317825.37316873734,1601.2093054502452
1999-11-01,114.41892366027398,21.32,493472907.17808217,15.866849315068494,,1999,11,,0,262389.27928968775,1323.7069590938224
1999-12-01,114.6323448109589,24.2,460561615.1232877,15.833972602739726,,1999,12,,0,351233.17953711824,1375.4665075827006
2000-01-01,114.85288,25.775,426553280.0,15.8,,2000,1,,0,290515.8472287782,1571.890339397628
2000-02-01,114.45946713114752,27.35,629662910.1092896,15.757650273224044,,2000,2,,0,287418.0646667413,1174.0370127285003
2000-03-01,114.09143573770493,29.78,819668693.1147542,15.718032786885246,,2000,3,,0,320861.03483598237,1943.0925617801045
2000-04-01,113.69802286885246,29.74967391304348,1022778323.2240436,15.675683060109291,,2000,4,,0,350030.9346378976,1984.3401336560926
2000-05-01,113.31730073770493,29.72032608695652,1219336029.7814207,15.634699453551914,,2000,5,,0,335264.0765004745,1896.5298146239263
2000-06-01,112.92388786885246,29.69,1422445659.8907104,15.592349726775955,,2000,6,,0,402815.5484341213,2415.0673862711187
2000-07-01,112.54316573770492,27.501475409836065,1619003366.4480877,15.55136612021858,,2000,7,,0,706185.521085395,2786.359559048104
2000-08-01,112.14975286885246,25.24,1822112996.557377,15.509016393442623,,2000,8,,0,473421.7796432609,2756.629913354675
2000-09-01,111.75634,35.09,2025222626.6666667,15.466666666666669,,2000,9,,0,293359.29700244265,1811.4227408857162
2000-10-01,111.37561786885246,33.383442622950824,2221780333.224044,15.425683060109291,,2000,10,,0,353714.6418244548,1758.0694012704644
2000-11-01,110.982205,31.62,2424889963.333333,15.383333333333336,,2000,11,,0,297333.6948202324,1511.8042505387148
2000-12-01,110.60148286885249,31.59,2621447669.8907104,15.342349726775955,,2000,12,,0,381586.72802505776,1429.0985142408456
2001-01-01,110.20807,29.380000000000003,2824557300.0,15.3,,2001,1,,0,287798.1119815317,1868.7375725323277
2001-02-01,110.16582124657536,27.17,2625460725.7534246,15.189589041095893,,2001,2,,0,320997.75067095616,1850.7553533258586
2001-03-01,110.12766108219178,24.76,2445631561.917808,15.089863013698633,,2001,3,,0,308286.82701993245,2148.5065564998727
