Model,R2,RMSE,MAE,MAPE
Gradient Boosting,-0.00217232936118128,606456.8762504556,446861.8326747448,15.780025887760482
Ridge,-0.10100227968690056,635656.9943111942,458880.131904097,16.924740444863218
Random Forest,-0.2583763777553383,679569.6886512958,505054.7578947369,17.621758830656184
AdaBoost,-0.30822854900377505,692899.9533440066,520179.6780701755,18.475683508564007
Extra Trees,-0.48126832246599704,737302.2998647009,568677.8507894736,20.453194728839293
CatBoost,-0.5978265764751092,765761.5237978452,589036.7484004858,20.680326314035234
XGBoost,-0.7752435942797249,807156.4062501206,623060.9177631579,22.033238041658603
SVR,-1.5173810109579295,961176.6167769193,762820.5789447724,26.868481077664097
LightGBM,-1.573172990615757,971769.3855315043,774984.6889952157,27.353341662667702
LSTM,-5.812429006295092,1581174.1864630356,1301609.1708470394,49.3512737390812
SimpleRNN,-7.5181606543914405,1768078.8710696585,1523564.0748355263,61.65821012525182
SARIMA,-12.06568856163141,2189751.69862847,1979901.2192982463,78.95743158383928
Prophet,-1947377249562.5146,845383499616.0151,421719984224.1418,17762205.98301124
