Year,Value,Indicator
2025,,"International tourism, number of arrivals"
2024,,"International tourism, number of arrivals"
2023,,"International tourism, number of arrivals"
2022,,"International tourism, number of arrivals"
2021,,"International tourism, number of arrivals"
2020,2802000.0,"International tourism, number of arrivals"
2019,13109000.0,"International tourism, number of arrivals"
2018,12489000.0,"International tourism, number of arrivals"
2017,11540000.0,"International tourism, number of arrivals"
2016,10677000.0,"International tourism, number of arrivals"
2015,10542000.0,"International tourism, number of arrivals"
2014,10507000.0,"International tourism, number of arrivals"
2013,10349000.0,"International tourism, number of arrivals"
2012,9830000.0,"International tourism, number of arrivals"
2011,9784000.0,"International tourism, number of arrivals"
2010,9752000.0,"International tourism, number of arrivals"
2009,8661000.0,"International tourism, number of arrivals"
2008,8209000.0,"International tourism, number of arrivals"
2007,7701000.0,"International tourism, number of arrivals"
2006,6777000.0,"International tourism, number of arrivals"
2005,6077000.0,"International tourism, number of arrivals"
2004,5732000.0,"International tourism, number of arrivals"
2003,5021000.0,"International tourism, number of arrivals"
2002,4709000.0,"International tourism, number of arrivals"
2001,4596000.0,"International tourism, number of arrivals"
2000,4458000.0,"International tourism, number of arrivals"
1999,4088000.0,"International tourism, number of arrivals"
1998,3267000.0,"International tourism, number of arrivals"
1997,3203000.0,"International tourism, number of arrivals"
1996,2856000.0,"International tourism, number of arrivals"
1995,2752000.0,"International tourism, number of arrivals"
