Model,R2,RMSE,MAE,MAPE
Ridge,0.9147090875863949,112907.22154731923,88339.18238666914,6.2495628439595645
Prophet,0.8858420057238997,130624.15829048179,92176.57877008014,6.1099076523722795
SARIMA,0.7687137071012315,185928.20979405157,161527.8744463575,12.388007169177943
Random Forest,0.6231311760050263,237336.99883543936,185995.68201901144,12.263676286598827
Gradient Boosting,0.42966937916828296,291966.9444134961,226967.2757091375,14.472593755352797
XGBoost,0.79235871,173880.50,121418.71,7.738946\nLightGBM,0.06853146474322647,373125.0740608699,290278.08354993263,18.309642074218196
Extra Trees,-0.10643395365697095,406661.5273567919,372670.0267926908,25.521429255658756
AdaBoost,-0.2659100046573333,434982.47115944116,385611.9292783183,25.40719794060068
SimpleRNN,-0.6772753553513073,500694.156676784,367140.50390625,23.97368800781143
CatBoost,-1.4071346537469278,599819.4339922833,542066.206729731,35.91782119215072
LSTM,0.66058586,380381.37,258733.12,49.1266\nSVR,-4.788951380326061,930187.0545930989,846039.0772788131,56.17611376672452
